morpheme_nl,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_nl,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
snijden,carve,CARVE,CARVE,verb,,,transitive,,,3rd_singular,,,,,,,
met,with,WITH,WITH,with,,,,,,,,,,,,,
door,by,,,by,,,,,,,,,,,,,
aan,to,TO,TO,to,,,,,,,,,,,,,
voor,for,FOR,FOR,for,,,,,,,,,,,,,
slaan,hit,HIT,HIT,verb,,,benef-trans,,,,,,,,,,
dragen,carry,CARRY,CARRY,verb,,,benef-trans,,,,,,,,,,
duwen,push,PUSH,PUSH,verb,,,benef-trans,,,,,,,,,,
schuiven,slide,SLIDE,SLIDE,verb,,,benef-trans,,,,,,,,,,
openen,open,OPEN,OPEN,verb,,,benef-trans,,,,,,,,,,
sluiten,close,CLOSE,CLOSE,verb,,,benef-trans,,,,,,,,,,
breken,break,BREAK,BREAK,verb,,,benef-trans,,,,,,,,,,
repareren,repair,REPAIR,REPAIR,verb,,,benef-trans,,,,,,,,,,
laten_schrikken,scare,SCARE,SCARE,verb,,,benef-trans,,,,,,,,,,
verrassen,surprise,SURPRISE,SURPRISE,verb,,,benef-trans,,,,,,,,,,
lastig_vallen,bother,BOTHER,BOTHER,verb,,,benef-trans,,,,,,,,,,
pijn_doen,hurt,HURT,HURT,verb,,,benef-trans,,,,,,,,,,
in_,in,IN,IN,prep,,,,,,,,,,,,,
op,on,ON,ON,prep,,,,,,,,,,,,,
onder,under,UNDER,UNDER,prep,,,,,,,,,,,,,
over_,over,OVER,OVER,prep,,,,,,,,,,,,,
in_de_buurt_van,near,NEAR,NEAR,prep,,,,,,,,,,,,,
rondom,around,AROUND,AROUND,prep,,,,,,,,,,,,,
achter,behind,BEHIND,BEHIND,prep,,,,,,,,,,,,,
bovenop,onto,ONTO,ONTO,prep,,,,,,,,,,,,,
plaatsen,put,PUT,PUT,verb,,,cause-motion,,,,,,,,,,
slaan,hit,HIT,HIT,verb,,,cause-motion,,,,,,,,,,
dragen,carry,CARRY,CARRY,verb,,,cause-motion,,,,,,,,,,
duwen,push,PUSH,PUSH,verb,,,cause-motion,,,,,,,,,,
schuiven,slide,SLIDE,SLIDE,verb,,,cause-motion,,,,,,,,,,
vullen,fill,FILL,FILL,verb,,,state-change,,,,,,,,,,
bedekken,cover,COVER,COVER,verb,,,state-change,,,,,,,,,,
doorweken,soak,SOAK,SOAK,verb,,,state-change,,,,,,,,,,
baden,bathe,BATHE,BATHE,verb,,,state-change,,,,,,,,,,
dichtstoppen,plug,PLUG,PLUG,verb,,,state-change,,,,,,,,,,
omringen,ring,RING,RING,verb,,,state-change,,,,,,,,,,
overstromen,flood,FLOOD,FLOOD,verb,,,state-change,,,,,,,,,,
bevlekken,stain,STAIN,STAIN,verb,,,state-change,,,,,,,,,,
spuiten,spray,SPRAY,SPRAY,verb,,,locative-alt,,,,,,,,,,
laden,load,LOAD,LOAD,verb,,,locative-alt,,,,,,,,,,
borstelen,brush,BRUSH,BRUSH,verb,,,locative-alt,,,,,,,,,,
ophopen,heap,HEAP,HEAP,verb,,,locative-alt,,,,,,,,,,
